,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
7,/datc/ortho/Cat1_pat18_meting10_oef2.csv,0,51,136,2018-12-10 09:59:46.313685,Kasper
8,/datc/ortho/Cat1_pat8_meting10_oef2.csv,0,9,136,2018-12-10 10:00:28.736024,Kasper
9,/datc/ortho/Cat1_pat15_meting10_oef2.csv,0,27,178,2018-12-10 10:01:01.285215,Kasper
10,/datc/ortho/Cat1_pat26_meting10_oef2.csv,0,4,132,2018-12-10 10:02:26.568144,Kasper
11,/datc/ortho/Cat1_pat3_meting10_oef2.csv,0,9,123,2018-12-10 10:03:04.988310,Kasper
12,/datc/ortho/Cat1_pat27_meting10_oef2.csv,0,8,105,2018-12-10 10:03:54.788094,Kasper
13,/datc/ortho/Cat1_pat11_meting10_oef2.csv,0,21,160,2018-12-10 10:04:21.530522,Kasper
14,/datc/ortho/Cat1_pat12_meting10_oef2.csv,0,2,147,2018-12-10 10:05:20.125547,Kasper
15,/datc/ortho/Cat1_pat21_meting10_oef2.csv,0,10,83,2018-12-10 10:05:41.520325,Kasper
16,/datc/ortho/Cat1_pat6_meting10_oef2.csv,0,2,152,2018-12-10 10:06:40.491699,Kasper
17,/datc/ortho/Cat1_pat24_meting10_oef2.csv,0,10,131,2018-12-10 10:07:06.757851,Kasper
18,/datc/ortho/Cat1_pat2_meting10_oef2.csv,0,1,146,2018-12-10 10:07:47.122131,Kasper
19,/datc/ortho/Cat1_pat4_meting10_oef2.csv,0,12,140,2018-12-10 10:08:33.988730,Kasper
20,/datc/ortho/Cat1_pat17_meting10_oef2.csv,0,34,161,2018-12-10 10:09:15.186642,Kasper
21,/datc/ortho/Cat1_pat13_meting10_oef2.csv,0,13,140,2018-12-10 10:10:06.705878,Kasper
22,/datc/ortho/Cat1_pat19_meting10_oef2.csv,0,23,157,2018-12-10 10:10:39.022377,Kasper
23,/datc/ortho/Cat1_pat20_meting10_oef2.csv,0,2,109,2018-12-10 10:11:01.727518,Kasper
24,/datc/ortho/Cat1_pat14_meting10_oef2.csv,0,27,174,2018-12-10 10:12:02.784584,Kasper
25,/datc/ortho/Cat1_pat22_meting10_oef2.csv,0,14,121,2018-12-10 10:12:28.678603,Kasper
26,/datc/ortho/Cat1_pat29_meting10_oef2.csv,0,22,138,2018-12-10 10:13:20.710673,Kasper
27,/datc/ortho/Cat1_pat7_meting10_oef2.csv,0,22,155,2018-12-10 10:15:51.931857,Kasper
28,/datc/ortho/Cat1_pat26_meting10_oef3.csv,0,11,124,2018-12-10 10:17:49.674421,Kasper
29,/datc/ortho/Cat1_pat19_meting10_oef3.csv,0,10,143,2018-12-10 10:19:06.935962,Kasper
